Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_cut,FarFromHome,LowMonthlyIncome,LowWorkingYears,TotalSatisfaction
No,Non-Travel,641,25,College,Technical Degree,Female,85,High,2,Sales Executive,Married,6069,7,Yes,12,Excellent,1,2,Best,2,2,2,2,1,1,0,0,6
No,Travel_Rarely,933,1,Bachelor,Life Sciences,Male,57,High,2,Sales Executive,Married,20156,1,No,17,Excellent,1,3,Better,8,7,7,7,0,0,0,0,5
No,Travel_Rarely,1332,2,Master,Other,Male,98,Medium,2,Healthcare Representative,Single,17078,3,No,23,Outstanding,0,6,Better,1,0,0,0,2,0,0,0,4
Yes,Travel_Frequently,756,1,Below College,Technical Degree,Female,99,Medium,1,Sales Representative,Single,9150,1,Yes,11,Excellent,0,3,Better,3,2,1,2,0,0,1,0,3
No,Non-Travel,845,1,Doctor,Medical,Female,45,High,2,Sales Executive,Single,15276,4,No,15,Excellent,0,6,Better,1,0,0,0,2,0,0,0,7
No,Travel_Frequently,541,3,Master,Medical,Male,48,Medium,3,Sales Executive,Married,7246,4,No,11,Excellent,1,2,Better,13,9,1,12,2,0,0,0,3
No,Travel_Rarely,593,1,Master,Medical,Male,88,High,2,Healthcare Representative,Married,2967,2,No,11,Excellent,0,2,Better,3,2,1,2,4,0,0,0,7
No,Travel_Rarely,1171,10,Master,Life Sciences,Female,46,Very High,1,Laboratory Technician,Married,22495,3,Yes,13,Excellent,1,3,Better,7,7,1,7,2,0,1,0,7
No,Non-Travel,895,9,College,Medical,Male,39,High,1,Sales Representative,Single,2851,1,No,24,Outstanding,0,3,Good,3,2,2,2,0,0,1,0,5
Yes,Travel_Rarely,350,5,Bachelor,Marketing,Female,34,High,1,Sales Representative,Single,9150,1,Yes,13,Excellent,0,2,Better,1,0,0,0,1,0,1,1,6
No,Travel_Rarely,921,10,Bachelor,Medical,Female,98,High,1,Laboratory Technician,Married,17663,6,No,20,Outstanding,1,3,Better,5,4,0,3,2,0,0,0,3
No,Non-Travel,1144,7,Master,Medical,Female,30,High,2,Manufacturing Director,Married,16044,2,No,14,Excellent,0,2,Best,1,0,0,0,3,0,0,0,6
Yes,Travel_Frequently,143,4,Bachelor,Marketing,Male,56,High,2,Sales Executive,Single,9558,1,No,18,Excellent,0,5,Better,8,7,7,7,2,0,0,0,3
No,Travel_Rarely,1046,10,Bachelor,Technical Degree,Male,100,Medium,3,Healthcare Representative,Single,2755,6,No,15,Excellent,0,2,Better,4,3,1,3,3,0,0,0,9
Yes,Travel_Rarely,575,22,College,Marketing,Male,68,Medium,2,Sales Executive,Married,6110,2,Yes,12,Excellent,2,6,Better,6,4,1,0,2,1,0,0,4
No,Travel_Rarely,408,9,Master,Life Sciences,Male,42,Medium,1,Research Scientist,Single,7551,1,Yes,16,Excellent,0,5,Better,2,2,2,2,1,0,1,0,6
Yes,Travel_Rarely,156,12,Bachelor,Life Sciences,Female,90,Very High,1,Sales Representative,Single,25422,1,No,15,Excellent,0,0,Better,1,0,0,0,0,0,1,1,6
No,Travel_Rarely,1283,23,Bachelor,Life Sciences,Male,54,High,1,Research Scientist,Single,18168,9,No,16,Excellent,0,4,Better,3,2,1,2,1,1,1,0,9
No,Travel_Rarely,755,9,Master,Life Sciences,Male,97,Medium,2,Healthcare Representative,Single,19394,9,No,19,Excellent,0,5,Better,1,1,0,0,2,0,0,0,5
No,Travel_Rarely,1469,1,College,Medical,Male,82,High,1,Laboratory Technician,Divorced,17881,1,No,11,Excellent,1,2,Better,5,2,0,4,1,0,0,0,5
No,Travel_Rarely,304,9,Master,Life Sciences,Male,92,High,2,Sales Executive,Single,20750,1,No,16,Excellent,0,1,Better,7,5,0,7,1,0,0,0,7
No,Travel_Rarely,1261,7,Bachelor,Other,Male,31,Medium,3,Healthcare Representative,Single,12066,8,No,24,Outstanding,0,2,Better,5,2,0,0,3,0,0,0,5
No,Travel_Rarely,1178,14,College,Life Sciences,Female,87,High,2,Sales Executive,Married,14862,4,No,11,Excellent,1,2,Good,7,7,0,7,3,0,0,0,7
No,Travel_Rarely,329,2,Bachelor,Life Sciences,Female,96,High,1,Research Scientist,Married,11868,4,No,13,Excellent,1,3,Better,2,2,2,2,2,0,1,0,6
Yes,Non-Travel,1362,19,Bachelor,Marketing,Male,67,Very High,2,Sales Executive,Single,4652,8,Yes,13,Excellent,0,3,Good,5,2,0,4,1,0,0,0,4
No,Travel_Rarely,1311,2,Bachelor,Life Sciences,Female,97,High,4,Manager,Single,23258,2,Yes,13,Excellent,0,2,Better,5,4,1,2,4,0,0,0,7
No,Travel_Rarely,1371,10,Master,Marketing,Female,77,High,2,Sales Executive,Divorced,5915,1,Yes,12,Excellent,1,2,Best,5,2,0,3,0,0,0,0,8
No,Travel_Rarely,202,2,Below College,Technical Degree,Male,72,High,1,Sales Representative,Married,17434,1,No,18,Excellent,1,3,Better,1,0,0,0,1,0,1,1,3
Yes,Travel_Frequently,575,3,Below College,Technical Degree,Male,73,High,1,Research Scientist,Single,6582,1,No,22,Outstanding,0,2,Better,6,4,0,4,0,0,1,0,4
No,Travel_Rarely,253,11,Bachelor,Medical,Female,43,High,1,Research Scientist,Married,24440,1,No,13,Excellent,1,1,Better,2,1,1,2,0,0,1,1,4
No,Travel_Rarely,164,2,College,Medical,Male,61,Medium,3,Sales Executive,Married,3809,1,No,13,Excellent,2,2,Better,10,9,9,0,2,0,0,0,4
Yes,Travel_Frequently,464,4,Bachelor,Technical Degree,Male,40,High,1,Research Scientist,Single,3427,9,Yes,23,Outstanding,0,4,Better,1,0,0,0,1,0,1,0,7
No,Travel_Rarely,1107,14,Bachelor,Life Sciences,Female,95,High,1,Laboratory Technician,Divorced,26914,1,No,12,Excellent,1,2,Good,18,7,12,17,2,0,1,0,5
No,Travel_Rarely,759,2,College,Marketing,Female,46,High,2,Sales Executive,Divorced,22553,7,No,12,Excellent,2,5,Better,5,4,1,3,2,0,0,0,6
No,Travel_Rarely,201,1,Master,Life Sciences,Female,95,High,1,Laboratory Technician,Divorced,20490,3,No,16,Excellent,1,5,Better,5,2,1,2,2,0,1,0,2
No,Travel_Rarely,1305,10,Master,Life Sciences,Male,49,High,2,Manufacturing Director,Single,21123,2,Yes,12,Excellent,0,2,Good,1,0,0,1,2,0,0,0,6
No,Travel_Rarely,555,2,Bachelor,Medical,Female,78,Medium,2,Laboratory Technician,Married,13436,6,No,22,Outstanding,1,3,Better,1,0,0,0,2,0,0,0,4
No,Travel_Rarely,821,5,College,Medical,Male,86,High,5,Research Director,Married,8509,4,No,11,Excellent,1,4,Good,4,2,1,2,4,0,0,0,2
No,Non-Travel,1381,4,Master,Marketing,Female,72,High,2,Sales Executive,Married,12740,9,No,15,Excellent,1,3,Better,3,2,1,2,1,0,0,0,4
No,Travel_Rarely,480,7,College,Medical,Female,31,High,2,Manufacturing Director,Married,4156,1,No,12,Excellent,1,5,Bad,13,10,3,12,1,0,0,0,2
No,Travel_Frequently,313,21,Bachelor,Medical,Male,61,High,1,Laboratory Technician,Married,15238,7,No,20,Outstanding,1,1,Better,3,2,1,2,2,0,1,0,6
No,Travel_Rarely,1473,8,Master,Other,Female,74,High,2,Healthcare Representative,Divorced,2227,4,Yes,14,Excellent,0,3,Better,5,2,0,2,2,0,0,0,7
No,Travel_Rarely,891,4,College,Life Sciences,Female,99,Medium,2,Sales Executive,Single,12090,1,Yes,11,Excellent,0,3,Better,5,4,1,3,0,0,0,0,5
No,Non-Travel,1063,25,Doctor,Medical,Female,72,High,2,Research Scientist,Married,23866,3,Yes,15,Excellent,2,2,Better,13,11,10,7,2,1,0,0,3
No,Travel_Rarely,329,1,College,Life Sciences,Male,98,Medium,1,Laboratory Technician,Married,16193,1,No,12,Excellent,1,3,Better,4,2,3,2,1,0,1,0,5
No,Travel_Frequently,906,6,Bachelor,Life Sciences,Female,86,Very High,4,Sales Executive,Married,18256,9,No,11,Excellent,3,0,Good,7,7,7,7,4,0,0,0,5
No,Travel_Rarely,1082,12,Bachelor,Technical Degree,Female,83,High,2,Sales Executive,Single,19558,1,No,11,Excellent,0,6,Better,5,4,4,4,1,0,0,0,4
No,Travel_Rarely,645,1,Bachelor,Marketing,Male,49,Very High,3,Sales Executive,Married,19566,1,No,16,Excellent,1,2,Better,10,7,0,7,2,0,0,0,3
No,Travel_Rarely,1300,17,College,Medical,Male,79,High,2,Laboratory Technician,Divorced,13535,1,No,12,Excellent,1,2,Better,10,0,1,8,1,0,0,0,5
Yes,Travel_Rarely,688,3,Bachelor,Medical,Male,91,High,1,Laboratory Technician,Married,9396,5,No,13,Excellent,1,5,Better,2,2,0,2,0,0,0,0,2
No,Travel_Rarely,319,3,Bachelor,Medical,Male,39,Medium,3,Manufacturing Director,Married,19609,2,Yes,14,Excellent,0,4,Better,5,4,0,4,4,0,0,0,7
No,Travel_Rarely,192,10,College,Life Sciences,Male,69,High,1,Research Scientist,Married,9655,3,No,21,Outstanding,2,3,Good,2,2,0,2,3,0,1,0,6
No,Travel_Rarely,1490,4,College,Life Sciences,Female,30,High,4,Manager,Married,10310,2,No,13,Excellent,0,2,Bad,5,2,1,4,4,0,0,0,9
No,Travel_Frequently,532,29,College,Life Sciences,Female,92,High,2,Research Scientist,Divorced,12932,2,No,11,Excellent,1,3,Better,5,4,0,2,2,1,0,0,3
No,Travel_Rarely,317,2,Bachelor,Life Sciences,Female,43,Low,2,Manufacturing Director,Single,24793,2,No,20,Outstanding,0,2,Better,5,4,0,2,1,0,0,0,7
No,Travel_Rarely,1485,18,Bachelor,Medical,Female,87,High,2,Manufacturing Director,Divorced,26314,2,No,14,Excellent,1,5,Good,10,7,0,8,3,0,0,0,6
No,Travel_Frequently,1368,28,Master,Technical Degree,Female,88,Medium,2,Healthcare Representative,Married,4386,1,No,11,Excellent,3,4,Best,6,5,0,4,2,1,0,0,9
Yes,Travel_Rarely,1448,1,Below College,Technical Degree,Female,62,High,1,Sales Representative,Single,21972,1,Yes,16,Excellent,0,4,Better,5,3,1,4,0,0,1,0,2
Yes,Travel_Frequently,296,6,College,Marketing,Female,33,Low,1,Sales Representative,Divorced,12253,1,No,16,Excellent,1,3,Good,2,2,1,0,1,0,1,0,8
No,Travel_Frequently,1490,2,College,Life Sciences,Male,42,High,1,Laboratory Technician,Married,12106,1,Yes,23,Outstanding,1,3,Better,1,0,0,0,2,0,1,1,8
No,Travel_Rarely,1349,23,Bachelor,Life Sciences,Female,90,High,1,Research Scientist,Divorced,3032,1,No,22,Outstanding,2,3,Bad,3,2,0,2,0,1,1,0,4
No,Non-Travel,1400,3,Bachelor,Life Sciences,Male,53,High,1,Laboratory Technician,Married,16734,4,No,15,Excellent,1,3,Bad,5,3,1,4,1,0,1,0,7
No,Travel_Rarely,986,3,Master,Medical,Male,93,Medium,3,Research Director,Married,21526,1,No,18,Excellent,0,2,Better,10,2,0,7,1,0,0,0,5
Yes,Travel_Rarely,408,25,Doctor,Technical Degree,Female,71,Medium,1,Research Scientist,Married,18300,5,No,16,Excellent,0,2,Best,2,2,1,1,1,1,1,0,4
Yes,Travel_Rarely,489,2,College,Technical Degree,Male,52,Medium,1,Human Resources,Single,18437,1,No,12,Excellent,0,3,Best,1,0,0,0,0,0,1,1,5
No,Non-Travel,1398,22,Master,Other,Female,69,High,3,Sales Executive,Married,2890,1,No,11,Excellent,0,3,Better,9,8,7,8,1,1,0,0,4
No,Travel_Rarely,210,29,Bachelor,Marketing,Male,56,Medium,4,Manager,Divorced,22102,3,No,12,Excellent,1,3,Good,1,0,0,0,4,1,0,0,5
No,Non-Travel,1116,2,Bachelor,Medical,Female,49,High,1,Laboratory Technician,Single,7181,1,No,14,Excellent,0,2,Good,11,7,6,7,1,0,1,0,7
No,Travel_Frequently,1499,28,Bachelor,Marketing,Female,80,Medium,3,Sales Executive,Married,2845,4,No,19,Excellent,0,5,Best,18,13,13,11,4,1,0,0,5
No,Travel_Rarely,983,2,College,Medical,Female,65,High,2,Manufacturing Director,Divorced,7389,5,No,13,Excellent,3,2,Better,5,0,0,4,3,0,0,0,5
No,Travel_Rarely,1009,2,Bachelor,Life Sciences,Male,51,High,4,Research Director,Married,2288,6,No,13,Excellent,0,2,Bad,3,2,0,1,3,0,0,0,4
No,Travel_Rarely,144,22,Bachelor,Life Sciences,Male,46,Low,1,Laboratory Technician,Single,19225,1,No,15,Excellent,0,2,Better,5,4,4,3,2,1,0,0,7
No,Travel_Rarely,548,8,Master,Life Sciences,Female,42,High,2,Laboratory Technician,Single,23428,7,No,11,Excellent,0,3,Better,1,0,0,0,4,0,0,0,6
No,Travel_Rarely,1303,2,Master,Life Sciences,Male,62,Medium,1,Research Scientist,Divorced,8416,3,No,12,Excellent,1,3,Better,7,3,5,7,1,0,1,0,7
No,Travel_Rarely,1125,10,Bachelor,Marketing,Female,94,Medium,3,Sales Executive,Married,11563,2,Yes,19,Excellent,1,3,Better,3,2,1,2,3,0,0,0,7
No,Travel_Rarely,1274,9,Below College,Life Sciences,Male,33,High,3,Manufacturing Director,Divorced,14394,1,No,25,Outstanding,1,6,Best,13,8,0,8,1,0,0,0,6
Yes,Travel_Rarely,1277,15,Below College,Medical,Male,56,High,3,Manager,Married,24619,7,Yes,12,Excellent,0,2,Best,7,6,7,7,1,0,0,0,6
Yes,Travel_Rarely,587,10,Below College,Medical,Male,38,Low,1,Laboratory Technician,Divorced,6705,7,No,13,Excellent,3,2,Better,4,3,1,3,1,0,0,0,3
No,Travel_Rarely,413,7,Below College,Marketing,Male,57,High,1,Sales Representative,Single,18398,1,No,14,Excellent,0,3,Better,3,2,1,2,1,0,1,0,4
No,Travel_Rarely,1276,16,Bachelor,Life Sciences,Male,72,High,3,Healthcare Representative,Married,14295,4,Yes,12,Excellent,0,2,Better,8,7,0,0,2,0,0,0,7
Yes,Travel_Frequently,534,20,Bachelor,Life Sciences,Male,66,High,3,Healthcare Representative,Married,22908,3,No,12,Excellent,0,2,Better,1,0,0,0,1,0,0,0,2
Yes,Travel_Frequently,988,23,Bachelor,Human Resources,Female,43,High,3,Human Resources,Divorced,11533,9,Yes,15,Excellent,3,2,Better,3,2,0,2,1,1,0,0,3
No,Travel_Frequently,1474,5,College,Other,Male,97,High,1,Laboratory Technician,Married,9260,4,No,17,Excellent,1,4,Better,2,2,2,0,2,0,1,0,6
No,Non-Travel,635,10,Master,Medical,Male,32,High,3,Sales Executive,Single,15318,1,No,14,Excellent,0,3,Good,10,3,9,7,2,0,0,0,7
Yes,Travel_Frequently,1368,4,Below College,Technical Degree,Male,99,Medium,1,Laboratory Technician,Single,9129,5,No,16,Excellent,0,3,Better,2,2,1,2,0,0,0,0,6
No,Travel_Rarely,163,2,Doctor,Marketing,Female,37,High,2,Sales Executive,Married,19658,2,No,14,Excellent,1,2,Better,9,7,6,7,3,0,0,0,4
No,Travel_Rarely,1117,18,Doctor,Life Sciences,Female,83,High,4,Manager,Single,9873,3,No,23,Outstanding,0,2,Better,10,9,7,7,4,0,0,0,4
No,Non-Travel,267,10,College,Life Sciences,Male,56,High,2,Sales Executive,Single,13430,7,No,14,Excellent,0,3,Better,14,3,1,10,2,0,0,0,9
No,Travel_Rarely,619,1,Bachelor,Marketing,Male,85,High,2,Sales Executive,Married,18659,9,No,11,Excellent,0,2,Better,11,9,6,9,2,0,0,0,5
No,Travel_Frequently,443,8,Below College,Life Sciences,Female,48,High,1,Laboratory Technician,Married,17872,1,No,11,Excellent,1,3,Better,8,3,0,7,2,0,0,0,4
No,Travel_Rarely,828,2,Below College,Life Sciences,Male,77,High,2,Sales Executive,Single,8346,4,Yes,13,Excellent,0,2,Best,6,5,0,5,1,0,0,0,6
No,Travel_Rarely,319,24,Bachelor,Medical,Male,56,High,3,Manufacturing Director,Married,6950,1,Yes,21,Outstanding,1,5,Good,10,9,5,8,2,1,0,0,6
No,Travel_Rarely,561,2,Bachelor,Other,Male,61,High,2,Sales Executive,Married,16177,1,No,19,Excellent,1,3,Best,8,7,3,7,3,0,0,0,5
Yes,Travel_Frequently,426,17,Master,Life Sciences,Female,58,High,1,Human Resources,Divorced,22808,1,Yes,11,Excellent,1,2,Good,7,7,1,0,0,0,1,0,4
No,Travel_Rarely,232,19,Bachelor,Technical Degree,Male,34,High,2,Manufacturing Director,Divorced,22645,4,No,12,Excellent,2,2,Best,3,2,1,2,1,0,0,0,7
No,Travel_Rarely,922,1,Doctor,Medical,Female,95,Very High,4,Research Director,Divorced,22578,4,No,19,Excellent,1,2,Better,6,1,0,5,1,0,0,0,4
No,Travel_Rarely,688,7,Bachelor,Life Sciences,Male,44,Medium,3,Manager,Divorced,25291,9,No,21,Outstanding,1,3,Good,5,4,0,1,1,0,0,0,7
Yes,Travel_Frequently,1306,5,Bachelor,Marketing,Male,69,High,1,Sales Representative,Single,8059,1,Yes,14,Excellent,0,3,Better,0,0,0,0,0,0,1,1,5
No,Non-Travel,1094,28,Bachelor,Other,Male,58,Low,3,Sales Executive,Divorced,11373,3,No,15,Excellent,1,2,Better,1,0,0,1,2,1,0,0,4
No,Non-Travel,509,2,Master,Other,Female,62,Medium,2,Healthcare Representative,Single,2112,2,Yes,17,Excellent,0,3,Better,8,7,0,7,2,0,0,0,2
No,Travel_Rarely,775,29,College,Medical,Male,45,High,2,Sales Executive,Divorced,4267,5,No,12,Excellent,2,5,Better,0,0,0,0,0,1,0,0,2
No,Travel_Rarely,195,1,Bachelor,Medical,Female,80,High,2,Sales Executive,Single,6698,1,No,16,Excellent,0,3,Better,5,4,0,3,2,0,0,0,5
No,Travel_Rarely,258,21,Master,Life Sciences,Male,74,Very High,2,Sales Executive,Single,19921,1,No,12,Excellent,0,3,Better,10,7,5,7,1,0,0,0,9
Yes,Travel_Rarely,471,24,Bachelor,Technical Degree,Male,66,Low,1,Laboratory Technician,Single,23213,1,Yes,18,Excellent,0,3,Bad,1,0,0,0,0,1,1,1,6
No,Travel_Rarely,799,1,Bachelor,Technical Degree,Female,59,High,3,Manufacturing Director,Single,23848,4,No,17,Excellent,0,3,Best,6,5,1,2,2,0,0,0,7
No,Travel_Frequently,1034,18,Below College,Medical,Female,86,High,3,Healthcare Representative,Married,8984,5,No,11,Excellent,0,3,Good,2,2,1,2,3,0,0,0,5
No,Non-Travel,142,9,Master,Medical,Male,69,High,3,Sales Executive,Divorced,24666,1,No,13,Excellent,1,6,Better,9,5,7,7,2,0,0,0,4
No,Travel_Rarely,956,6,College,Technical Degree,Male,78,High,2,Research Scientist,Divorced,22087,3,Yes,12,Excellent,2,3,Better,10,9,6,9,4,0,0,0,4
Yes,Non-Travel,1474,11,Master,Other,Male,60,Very High,2,Sales Executive,Married,23914,8,No,12,Excellent,0,2,Better,4,2,1,2,1,0,0,0,8
No,Travel_Frequently,535,24,Bachelor,Medical,Male,38,High,1,Sales Representative,Married,5530,1,No,13,Excellent,2,3,Better,2,2,2,1,0,1,1,0,8
No,Travel_Rarely,1495,10,Bachelor,Medical,Female,76,High,2,Healthcare Representative,Married,22174,3,No,19,Excellent,1,4,Better,1,0,0,0,2,0,0,0,6
No,Travel_Rarely,446,1,Master,Life Sciences,Female,65,High,2,Manufacturing Director,Married,15701,6,No,12,Excellent,1,2,Good,6,5,4,3,2,0,0,0,3
No,Travel_Rarely,691,23,Bachelor,Medical,Male,89,Very High,1,Research Scientist,Married,21630,1,Yes,11,Excellent,2,3,Better,6,5,1,4,0,1,1,0,5
No,Travel_Rarely,703,28,College,Marketing,Male,66,High,2,Sales Executive,Married,7428,1,No,20,Outstanding,2,5,Best,5,3,1,4,0,1,0,0,4
No,Travel_Rarely,823,17,College,Other,Male,94,Medium,1,Laboratory Technician,Married,9100,1,No,21,Outstanding,1,2,Better,1,0,0,0,0,0,1,1,7
No,Travel_Rarely,622,13,Below College,Medical,Male,40,High,1,Sales Representative,Married,26376,1,No,11,Excellent,0,1,Better,7,4,0,6,0,0,1,0,5
Yes,Travel_Frequently,1287,7,Bachelor,Life Sciences,Female,55,High,1,Laboratory Technician,Married,14168,1,Yes,16,Excellent,1,4,Better,6,3,1,2,0,0,1,0,5
Yes,Travel_Frequently,448,12,Master,Life Sciences,Male,74,Medium,1,Sales Representative,Married,14470,1,No,18,Excellent,1,2,Best,1,0,0,0,1,0,1,1,3
No,Travel_Rarely,254,1,College,Life Sciences,Male,83,Medium,1,Research Scientist,Married,22794,1,Yes,13,Excellent,1,3,Better,6,5,1,3,1,0,0,0,7
Yes,Travel_Rarely,1365,13,Master,Medical,Male,46,High,2,Sales Executive,Divorced,11512,2,No,17,Excellent,0,2,Bad,3,1,1,2,1,0,0,0,3
No,Travel_Rarely,538,25,College,Other,Male,54,Medium,2,Laboratory Technician,Single,14004,4,No,14,Excellent,0,3,Better,3,2,0,2,2,1,0,0,6
No,Travel_Rarely,525,6,Master,Medical,Male,66,Very High,2,Sales Executive,Divorced,6219,4,No,22,Outstanding,2,4,Best,7,7,5,7,1,0,0,0,6
No,Travel_Rarely,798,6,Master,Medical,Female,66,Medium,1,Research Scientist,Divorced,5013,1,No,12,Excellent,2,5,Good,5,3,0,3,1,0,1,0,4
No,Travel_Rarely,558,2,Bachelor,Marketing,Male,75,High,2,Sales Executive,Married,3010,4,Yes,11,Excellent,1,3,Good,3,0,1,0,2,0,0,0,7
No,Travel_Rarely,959,1,Bachelor,Life Sciences,Female,83,Medium,1,Research Scientist,Single,11757,1,No,13,Excellent,0,0,Best,1,0,0,0,0,0,1,1,7
No,Travel_Rarely,622,2,Master,Life Sciences,Female,81,High,2,Healthcare Representative,Married,5718,1,No,13,Excellent,2,4,Better,10,2,2,2,2,0,0,0,6
No,Travel_Rarely,782,6,Master,Other,Male,50,Medium,4,Research Director,Divorced,2671,4,Yes,14,Excellent,1,3,Good,1,0,0,0,2,0,0,0,6
No,Travel_Rarely,362,1,Below College,Life Sciences,Female,43,High,1,Research Scientist,Single,14561,3,No,17,Excellent,0,3,Good,0,0,0,0,2,0,1,0,5
No,Travel_Frequently,1001,9,Doctor,Medical,Male,72,High,2,Laboratory Technician,Divorced,19627,3,Yes,13,Excellent,1,3,Better,8,7,4,7,2,0,0,0,6
No,Travel_Rarely,1236,1,Master,Life Sciences,Female,40,Medium,4,Manager,Married,17997,7,No,11,Excellent,1,3,Bad,3,2,0,2,3,0,0,0,3
No,Travel_Rarely,1112,1,Master,Life Sciences,Female,50,Medium,2,Human Resources,Single,26894,4,No,11,Excellent,0,1,Best,2,2,0,2,3,0,0,0,3
No,Travel_Rarely,204,14,Bachelor,Technical Degree,Female,31,High,1,Sales Representative,Divorced,2912,1,Yes,18,Excellent,2,3,Better,8,2,0,6,1,0,1,0,7
Yes,Travel_Rarely,1420,2,Below College,Marketing,Male,85,High,1,Sales Representative,Divorced,16346,1,No,11,Excellent,1,3,Better,4,3,0,2,1,0,1,0,3
No,Travel_Rarely,1343,22,Below College,Technical Degree,Male,49,High,1,Sales Representative,Single,24444,1,No,11,Excellent,0,2,Better,3,2,1,2,0,1,0,0,6
No,Travel_Rarely,1315,3,Master,Other,Male,35,High,5,Manager,Married,9358,4,Yes,12,Excellent,1,2,Best,2,2,0,1,3,0,0,0,6
No,Travel_Rarely,604,6,Below College,Medical,Male,69,High,1,Research Scientist,Married,12145,1,No,20,Outstanding,0,3,Better,2,2,2,2,0,0,1,0,5
No,Travel_Rarely,1216,8,Master,Marketing,Male,39,High,2,Sales Executive,Divorced,20431,1,No,12,Excellent,0,3,Better,5,0,1,2,1,0,0,0,7
No,Travel_Rarely,646,9,Master,Life Sciences,Female,92,High,2,Research Scientist,Married,18089,1,Yes,12,Excellent,1,2,Good,6,4,0,5,1,0,0,0,6
No,Travel_Frequently,160,3,Bachelor,Medical,Female,71,High,1,Research Scientist,Divorced,22653,1,No,20,Outstanding,1,2,Better,1,0,0,0,1,0,1,1,6
No,Travel_Rarely,238,1,Below College,Medical,Female,34,High,2,Sales Executive,Single,7507,7,No,20,Outstanding,0,2,Best,14,7,8,10,4,0,0,0,6
No,Travel_Rarely,1397,1,Doctor,Life Sciences,Male,42,High,1,Research Scientist,Married,7660,1,No,12,Excellent,1,4,Good,10,9,8,8,1,0,1,0,7
Yes,Travel_Frequently,306,26,Master,Life Sciences,Female,100,High,2,Sales Executive,Married,5630,2,No,14,Excellent,2,4,Better,1,1,0,0,3,1,0,0,3
No,Travel_Rarely,991,6,Bachelor,Life Sciences,Female,71,High,1,Laboratory Technician,Married,17759,1,Yes,13,Excellent,1,2,Better,3,2,0,2,0,0,1,0,7
No,Travel_Rarely,482,3,Bachelor,Other,Male,36,High,3,Manufacturing Director,Married,9606,1,No,15,Excellent,1,2,Better,10,7,7,8,2,0,0,0,6
No,Travel_Rarely,1176,3,College,Medical,Female,62,High,2,Sales Executive,Married,3487,1,No,14,Excellent,1,5,Good,6,0,1,2,1,0,0,0,3
No,Travel_Rarely,1017,6,Master,Life Sciences,Male,82,Low,2,Research Scientist,Single,19368,1,No,13,Excellent,0,3,Better,17,11,11,8,2,0,0,0,5
No,Travel_Frequently,1296,6,Bachelor,Life Sciences,Male,30,High,2,Healthcare Representative,Divorced,5335,3,No,23,Outstanding,1,2,Bad,13,11,4,7,1,0,0,0,7
No,Travel_Rarely,397,19,Master,Medical,Male,88,High,3,Human Resources,Married,6729,2,No,15,Excellent,1,1,Best,9,7,7,1,4,0,0,0,5
No,Travel_Rarely,913,9,College,Medical,Male,48,Medium,2,Manufacturing Director,Divorced,13934,2,Yes,11,Excellent,1,2,Better,3,2,0,2,2,0,0,0,4
No,Travel_Rarely,1115,3,Master,Medical,Male,54,Medium,1,Research Scientist,Single,15174,1,No,13,Excellent,0,0,Better,4,2,1,1,1,0,1,0,6
Yes,Travel_Rarely,1362,10,Below College,Medical,Male,32,High,1,Research Scientist,Single,26999,1,Yes,11,Excellent,0,5,Better,1,0,1,1,0,0,1,1,8
Yes,Travel_Frequently,1076,3,Bachelor,Life Sciences,Male,70,High,1,Research Scientist,Single,3164,1,Yes,11,Excellent,0,3,Better,10,8,9,7,1,0,0,0,0
No,Non-Travel,727,3,Bachelor,Life Sciences,Male,41,Medium,1,Laboratory Technician,Married,16900,1,No,18,Excellent,2,3,Better,1,0,0,0,2,0,1,1,6
No,Travel_Rarely,885,4,Bachelor,Medical,Male,58,Very High,1,Research Scientist,Married,8544,2,No,16,Excellent,1,3,Best,3,2,0,2,0,0,1,0,0
No,Travel_Rarely,810,8,Bachelor,Life Sciences,Male,57,Very High,2,Sales Executive,Married,15678,1,No,22,Outstanding,1,4,Better,3,2,1,2,0,0,0,0,6
No,Travel_Rarely,243,7,Master,Marketing,Female,46,Medium,2,Sales Executive,Single,7791,1,No,20,Outstanding,0,2,Better,7,7,0,5,2,0,0,0,6
No,Travel_Frequently,806,1,Master,Life Sciences,Male,76,Low,1,Research Scientist,Divorced,18959,1,No,18,Excellent,1,5,Better,10,7,2,8,1,0,1,0,7
No,Travel_Rarely,817,2,Below College,Marketing,Male,56,Very High,2,Sales Executive,Married,18597,3,No,12,Excellent,0,3,Better,2,2,2,2,3,0,0,0,5
No,Travel_Frequently,1410,3,Below College,Medical,Female,71,Very High,2,Sales Executive,Divorced,16673,1,Yes,20,Outstanding,2,3,Better,6,5,0,4,1,0,0,0,7
No,Travel_Rarely,1225,10,College,Life Sciences,Male,80,Very High,1,Research Scientist,Single,15232,3,No,17,Excellent,0,2,Better,1,0,0,0,2,0,0,0,6
